row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_MeOH_t1_modified.mzXML Peak area,NEG_MeOH_t2_modified.mzXML Peak area,NEG_MeOH_t3_modified.mzXML Peak area,NEG_MAZ_21_t1_modified.mzXML Peak area,NEG_MAZ_21_t2_modified.mzXML Peak area,NEG_MAZ_21_t3_modified.mzXML Peak area,NEG_MAZ_19_t1_modified.mzXML Peak area,NEG_MAZ_19_t2_modified.mzXML Peak area,NEG_MAZ_19_t3_modified.mzXML Peak area,NEG_MAZ_18_t1_modified.mzXML Peak area,NEG_MAZ_18_t2_modified.mzXML Peak area,NEG_MAZ_18_t3_modified.mzXML Peak area,NEG_MAZ_17_t1_modified.mzXML Peak area,NEG_MAZ_17_t2_modified.mzXML Peak area,NEG_MAZ_17_t3_modified.mzXML Peak area,NEG_MAZ_16_t1_modified.mzXML Peak area,NEG_MAZ_16_t2_modified.mzXML Peak area,NEG_MAZ_16_t3_modified.mzXML Peak area,
1,225.08801717955382,0.60385555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.93344,432.68643,421.85553,
2,243.0987176291576,0.60385555,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2391.049,2377.551,2567.2249,
3,231.1349962930244,0.60938334,,,,,,,,,,,0,0,0,0,0,0,0,0,0,299.23233,336.28473,346.80472,0,0,0,0,0,0,
4,535.1668213277088,0.62707967,,,,,,,,,,,0,0,0,273.1517,273.1517,257.8551,0,0,0,0,0,0,620.0521,477.17004,585.49866,755.28955,738.209,747.92505,
5,489.1614594523437,0.62710553,,,,,,,,,,,0,0,0,604.5405,604.5405,543.87604,0,0,0,650.60144,612.67096,677.26416,1374.8885,1133.3303,1465.9569,1865.6302,1813.991,1809.4564,
6,525.1379870862814,0.63310283,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,793.6962,579.1534,807.9189,524.43384,540.01843,520.22766,
7,189.04051302391704,0.64926666,,,,,,,,,,,0,0,0,399.13492,399.13492,347.4985,414.2104,528.2361,454.53204,0,0,0,421.16763,329.49036,461.23257,619.6831,499.86295,521.6069,
8,225.04368750244805,0.6563501,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,523.48486,406.68454,588.25146,0,0,0,
9,219.05115404365418,0.65670556,,,,,,,,,,,0,0,0,0,0,0,1630.5691,1612.9905,1606.3967,0,0,0,0,0,0,0,0,0,
10,255.02801371661644,0.6567945,,,,,,,,,,,0,0,0,0,0,0,0,0,0,218.98874,191.85022,159.29997,0,0,0,0,0,0,
11,347.0257374518084,0.6626056,,,,,,,,,,,0,0,0,0,0,0,1407.4419,1151.4131,966.2533,0,0,0,0,0,0,0,0,0,
12,331.0672295274621,0.6673022,,,,,,,,,,,0,0,0,1343.782,1343.782,1232.0945,7228.0073,7725.1885,6979.666,659.3558,859.2241,831.4139,342.5157,326.7751,566.81946,659.7542,537.0586,685.5752,
13,188.09310704508752,0.7037444,,,,,,,,,,,0,0,0,140.43214,140.43214,140.87508,0,0,0,0,0,0,0,0,0,0,0,0,
14,299.07739763410706,0.7154333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,138.6507,132.69278,174.71683,0,0,0,
15,224.05973588376324,0.71547776,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,596.58673,485.93674,705.0525,0,0,0,
16,379.07066907833337,0.71620005,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.96948,440.67645,496.95956,
17,371.09867417671256,0.7219167,,,,,,,,,,,0,0,0,0,0,0,4004.4883,4105.3384,4107.3994,0,0,0,0,0,0,0,0,0,
18,227.05944396029943,0.74959445,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1457.7614,1277.744,1670.6476,0,0,0,
19,475.14560752167773,0.7573778,,,,,,,,,,,0,0,0,0,0,0,721.2176,765.2847,811.468,0,0,0,0,0,0,0,0,0,
20,369.0830501693703,0.77421665,,,,,,,,,,,0,0,0,273.69034,273.69034,292.0015,0,0,0,0,0,0,0,0,0,0,0,0,
21,244.08278268980754,0.7886999,,,,,,,,,,,0,0,0,0,0,0,0,0,0,566.0666,636.16296,650.5246,0,0,0,0,0,0,
22,395.02909313582717,0.7932611,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9153.286,8899.719,9139.359,
23,417.01100394370116,0.7932611,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.2057,1280.0089,1300.2905,
