row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_MeOH_t1_modified.mzXML Peak area,POS_MeOH_t2 _modified.mzXML Peak area,POS_MeOH_t3_modified.mzXML Peak area,POS_MAZ_21_t1_modified.mzXML Peak area,POS_MAZ_21_t2_modified.mzXML Peak area,POS_MAZ_21_t3_modified.mzXML Peak area,POS_MAZ_19_t1_modified.mzXML Peak area,POS_MAZ_19_t2_modified.mzXML Peak area,POS_MAZ_19_t3_modified.mzXML Peak area,POS_MAZ_18_t1_modified.mzXML Peak area,POS_MAZ_18_t2_modified.mzXML Peak area,POS_MAZ_18_t3_modified.mzXML Peak area,POS_MAZ_17_t1_modified.mzXML Peak area,POS_MAZ_17_t2_modified.mzXML Peak area,POS_MAZ_17_t3_modified.mzXML Peak area,POS_MAZ_16_t1_modified.mzXML Peak area,POS_MAZ_16_t2_modified.mzXML Peak area,POS_MAZ_16_t3_modified.mzXML Peak area,
1,146.04494465471313,0.60062224,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443.7585,2566.0784,2518.8994,
2,163.07149374831295,0.60062224,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17969.45,17481.885,17233.053,
3,245.11347559497656,0.60062224,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7277.1567,7147.0347,6877.9365,
4,267.09536625486754,0.6063833,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.44495,648.5596,675.9781,
5,233.14985581089735,0.60874444,,,,,,,,,,,0,0,0,278.8195,294.59134,277.18732,0,0,0,4081.7935,4068.7625,3776.18,0,0,0,628.38245,581.68005,522.9532,
6,114.09147530754343,0.61267227,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,607.7141,762.29596,912.5891,0,0,0,
7,407.16615410923487,0.63573337,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.0209,1034.5774,998.32043,
8,232.15454441605368,0.63609445,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,675.0669,587.8939,706.2599,0,0,0,
9,303.1050613596756,0.64183336,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,940.92004,815.93567,971.37756,0,0,0,
10,250.16509709011208,0.6505917,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10010.582,7971.296,10662.031,1976.6163,1933.4363,1710.7849,
11,247.1291803794179,0.65430003,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1766.7323,1767.1005,1732.0715,0,0,0,0,0,0,
12,238.09228787465437,0.6610486,,,,,,,,,,,0,0,0,2476.7122,1784.5703,1357.1168,4546.5596,3643.6548,3496.598,1850.9983,1483.4999,1339.7134,0,0,0,2152.0627,1744.028,1424.4277,
13,259.0217407531397,0.66926855,,,,,,,,,,,0,0,0,945.4185,790.40436,545.9085,1593.9907,1419.4344,1306.9229,744.70074,708.64935,665.04114,0,0,0,0,0,0,
14,88.11204121937612,0.67115,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2078.4224,1670.2289,2206.6394,1213.5729,829.6975,888.88965,
15,287.1102798609761,0.6714593,,,,,,,,,,,0,0,0,0,0,0,2431.5242,2378.766,2479.6187,1200.0013,1327.7622,1341.7855,692.91614,568.3868,742.5268,0,0,0,
16,243.0477818616449,0.67192775,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1997.8794,1872.5619,1786.3352,0,0,0,0,0,0,
17,190.10742190933243,0.69138056,,,,,,,,,,,0,0,0,627.49634,588.08514,563.3622,0,0,0,0,0,0,0,0,0,711.62866,700.0994,636.437,
18,245.09996586192355,0.70640546,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,460.09772,394.6999,460.8306,0,0,0,
19,144.0480317599693,0.7123778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.95087,278.34735,365.41882,
20,390.1394311939626,0.71812224,,,,,,,,,,,0,0,0,0,0,0,572.8075,490.93372,547.341,0,0,0,0,0,0,0,0,0,
21,259.12899453364935,0.73782957,,,,,,,,,,,0,0,0,286.04852,294.43756,251.21996,0,0,0,412.53506,401.68463,417.5714,0,0,0,349.72845,322.2102,306.59546,
22,243.04776226649835,0.7687979,,,,,,,,,,,0,0,0,1262.631,2777.1938,3441.695,4552.5234,4452.0767,4007.7397,944.10583,1466.2595,1945.6791,627.3389,1025.6884,1404.7432,2268.85,3140.348,3699.902,
